,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,455fdf27af915de2,True,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1,808e5edcddce51c3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,571bb034360052d9,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,217307a367fd551a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
4,23d71fb39b0456f5,True,1.0,1.0,1.0,1.0,0.4097443255289935,1.0,1.0,1.0,0.0,0.6905451017278105
5,ed98a4566ea95092,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0d5496cc08dc50fe,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,c6c94bd6691c5008,True,1.0,1.0,1.0,1.0,0.9774660873181136,1.0,1.0,1.0,0.0,0.8679581522869104
8,d1065c7c84e054ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
9,5c8f6ebe705d5013,True,1.0,1.0,1.0,1.0,0.2949654090398766,1.0,1.0,1.0,0.0,0.6546766903249615
10,dd157f14e18f5a1a,True,1.0,1.0,1.0,1.0,0.9591724557908383,1.0,1.0,1.0,0.0,0.862241392434637
11,dc39ce9c251551bb,True,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.28125
12,6404a27bddb85488,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
13,039e37993d565b25,True,1.0,1.0,1.0,1.0,0.45164186355259217,1.0,1.0,1.0,0.0,0.7036380823601851
14,bb6cf07ad4a350f6,True,1.0,1.0,1.0,1.0,0.385866492527146,1.0,1.0,1.0,0.0,0.6830832789147332
15,20fd202ba2e1572a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
16,2115a02d06035ce0,True,1.0,1.0,1.0,1.0,0.4318404629148839,1.0,1.0,1.0,,0.7970858796124585
17,fb0297e3fc9b573e,True,1.0,1.0,1.0,1.0,0.7042790437487663,1.0,1.0,1.0,0.0,0.7825872011714894
18,090af86f693c507b,True,1.0,1.0,1.0,1.0,0.2688128045191847,1.0,1.0,1.0,,0.7388617158997087
19,ed02d0df47ca55e7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0c318d7923d15b78,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
21,6f11adda2af357ff,True,1.0,1.0,1.0,1.0,0.8604577818000403,1.0,1.0,1.0,,0.9501634935000143
22,af5f095a4d815525,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,45e8b10f95925c47,True,0.0,0.0,0.0,1.0,0.9804686848299404,0.0,0.0,1.0,1.0,0.0
24,c810620e645e53b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,cdec001a2536542c,True,0.0,1.0,1.0,1.0,0.3604441268332409,1.0,1.0,0.0,0.0,0.0
26,f24ade1ee3ac51ce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
27,8b10128072e6539f,True,1.0,0.0,1.0,1.0,0.335213275733257,1.0,1.0,0.0,0.0,0.0
28,19efcf474dd85579,True,1.0,1.0,1.0,1.0,0.8087568733196056,1.0,1.0,1.0,0.0,0.8152365229123768
29,2c0e25d51b0b5e31,True,1.0,1.0,1.0,1.0,0.7976722270228104,1.0,1.0,1.0,0.0,0.8117725709446282
30,8869a2f03bbd5570,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
31,2649dcc8a1725fb2,True,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0
32,8d83f07bed9d5f6a,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,76ec850d346b5ca7,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
34,fdfad1317cd75455,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
35,6225b347244658c1,True,1.0,1.0,1.0,1.0,0.43741363715970233,1.0,1.0,1.0,,0.7990762989856081
36,7ffaa3cf8bf45474,True,1.0,1.0,1.0,1.0,0.7344416477775411,1.0,1.0,1.0,1.0,0.9170130149304816
37,f7b170baa6bd5b95,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
38,2c90fc5cc8905562,True,1.0,1.0,1.0,1.0,0.8873944860172307,1.0,1.0,1.0,1.0,0.9648107768803846
39,ffb972d89b065422,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
40,5e9e8c31277d5edc,True,0.5,0.0,0.5,1.0,0.7647618694660591,0.0,1.0,1.0,,0.0
41,94c7ef641e1c5dd7,True,1.0,1.0,1.0,1.0,0.7092684619107772,1.0,1.0,1.0,1.0,0.9091463943471179
42,4755336a0e225d97,True,0.5,0.0,0.5,1.0,0.07166142043579052,0.0,0.0,0.0,0.0,0.0
43,980e0f0b4d975c23,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,44062179c5b350bc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
45,e59b32f05f5e54f0,True,1.0,1.0,1.0,1.0,0.6479872372563843,1.0,1.0,1.0,0.0,0.7649960116426201
46,2087ff145dae502d,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625
47,7c94fd89afb95a88,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
48,4907817195ff5d6f,True,1.0,1.0,1.0,1.0,0.6351449743429624,1.0,0.0,1.0,1.0,0.7609828044821757
49,644b16fd65f956b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
50,0b12ac5676875ade,True,0.0,1.0,1.0,1.0,0.7334847969905731,1.0,1.0,1.0,0.0,0.0
51,47fdf7c04b155eac,True,1.0,1.0,1.0,1.0,0.6781011298044639,1.0,1.0,1.0,0.0,0.774406603063895
52,45102df6530d59e8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,73e0459194ce577f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1ad96f74e72750db,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,3eaee893ba995c48,True,1.0,1.0,1.0,1.0,0.6476542171798889,1.0,1.0,1.0,1.0,0.8898919428687153
56,ec75cc0ff5825fb9,True,1.0,1.0,1.0,1.0,0.5237085069718123,1.0,1.0,1.0,,0.8298958953470759
57,8b279a20979950d6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
58,71217bf1294b5c4b,True,0.0,1.0,1.0,1.0,0.4483988301130887,0.0,1.0,1.0,0.0,0.0
59,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
60,d39ff27c54d55ef1,True,1.0,0.0,1.0,1.0,0.9765550060902946,1.0,1.0,1.0,1.0,0.0
61,af194a8f1af65eb7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
62,5fe951e403f25012,True,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3125
63,6a3518e83ad751f6,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
64,3ba8b6918fc45634,True,1.0,1.0,1.0,1.0,0.7553793889353346,1.0,1.0,1.0,,0.9126354960483338
65,26cc0e92707756f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,776069d80826529d,True,1.0,1.0,1.0,1.0,0.6733106351010303,1.0,1.0,0.0,0.0,0.647909573469072
67,4c111cf640f258b4,True,1.0,1.0,1.0,1.0,0.7486233314501014,1.0,1.0,1.0,1.0,0.9214447910781567
68,52c1d14554bb51f5,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
69,0f65bd2bac90534a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,50d6986491d3510a,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6875
71,2e8c4827d8c757a3,True,1.0,0.0,1.0,1.0,0.4106415200499106,1.0,1.0,1.0,0.0,0.0
72,e7d1f889fc4d5309,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
73,66fff80a93805b34,True,1.0,1.0,1.0,1.0,0.8475983884653067,1.0,1.0,1.0,,0.9455708530233239
74,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,7c75567759e15900,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
76,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,0.5065711796383785,1.0,1.0,1.0,0.0,0.7208034936369933
77,b65dbda85d085330,True,1.0,0.0,1.0,1.0,0.5045199794962487,1.0,1.0,1.0,,0.0
78,58b0a1db2a145780,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
79,e10a3a8d627e5700,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
80,c6ef6a6fcd2c5466,True,1.0,1.0,1.0,1.0,0.5408420924670049,1.0,1.0,1.0,0.0,0.731513153895939
